group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
DynamicAccumulator: Prove Non-Membership,,100,,,59608208.0,ns,2
DynamicAccumulator: Prove Non-Membership,,100,,,58506667.0,ns,2
DynamicAccumulator: Prove Non-Membership,,100,,,59732500.0,ns,2
DynamicAccumulator: Prove Non-Membership,,100,,,59241875.0,ns,2
DynamicAccumulator: Prove Non-Membership,,100,,,59797042.0,ns,2
DynamicAccumulator: Prove Non-Membership,,100,,,61361875.0,ns,2
DynamicAccumulator: Prove Non-Membership,,100,,,57727000.0,ns,2
DynamicAccumulator: Prove Non-Membership,,100,,,58041042.0,ns,2
DynamicAccumulator: Prove Non-Membership,,100,,,59653750.0,ns,2
DynamicAccumulator: Prove Non-Membership,,100,,,55547125.0,ns,2
DynamicAccumulator: Prove Non-Membership,,100,,,59708417.0,ns,2
DynamicAccumulator: Prove Non-Membership,,100,,,60115916.0,ns,2
DynamicAccumulator: Prove Non-Membership,,100,,,58451167.0,ns,2
