group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
DynamicAccumulator: Prove Non-Membership,,10,,,1699625.0,ns,1
DynamicAccumulator: Prove Non-Membership,,10,,,3395959.0,ns,2
DynamicAccumulator: Prove Non-Membership,,10,,,5096458.0,ns,3
DynamicAccumulator: Prove Non-Membership,,10,,,7089333.0,ns,4
DynamicAccumulator: Prove Non-Membership,,10,,,8458292.0,ns,5
DynamicAccumulator: Prove Non-Membership,,10,,,11166042.0,ns,6
DynamicAccumulator: Prove Non-Membership,,10,,,12500417.0,ns,7
DynamicAccumulator: Prove Non-Membership,,10,,,13926083.0,ns,8
DynamicAccumulator: Prove Non-Membership,,10,,,15645916.0,ns,9
DynamicAccumulator: Prove Non-Membership,,10,,,17527041.0,ns,10
DynamicAccumulator: Prove Non-Membership,,10,,,19745750.0,ns,11
DynamicAccumulator: Prove Non-Membership,,10,,,20804083.0,ns,12
DynamicAccumulator: Prove Non-Membership,,10,,,22870375.0,ns,13
DynamicAccumulator: Prove Non-Membership,,10,,,24102834.0,ns,14
DynamicAccumulator: Prove Non-Membership,,10,,,26283042.0,ns,15
DynamicAccumulator: Prove Non-Membership,,10,,,27916708.0,ns,16
DynamicAccumulator: Prove Non-Membership,,10,,,29153875.0,ns,17
DynamicAccumulator: Prove Non-Membership,,10,,,31011542.0,ns,18
DynamicAccumulator: Prove Non-Membership,,10,,,33073875.0,ns,19
DynamicAccumulator: Prove Non-Membership,,10,,,34233625.0,ns,20
DynamicAccumulator: Prove Non-Membership,,10,,,36320125.0,ns,21
DynamicAccumulator: Prove Non-Membership,,10,,,38268958.0,ns,22
DynamicAccumulator: Prove Non-Membership,,10,,,40270125.0,ns,23
DynamicAccumulator: Prove Non-Membership,,10,,,42528708.0,ns,24
DynamicAccumulator: Prove Non-Membership,,10,,,42954167.0,ns,25
DynamicAccumulator: Prove Non-Membership,,10,,,45161583.0,ns,26
DynamicAccumulator: Prove Non-Membership,,10,,,47102375.0,ns,27
DynamicAccumulator: Prove Non-Membership,,10,,,49478875.0,ns,28
DynamicAccumulator: Prove Non-Membership,,10,,,51015750.0,ns,29
