group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
DynamicAccumulator: Prove Non-Membership,,200,,,103417750.0,ns,1
DynamicAccumulator: Prove Non-Membership,,200,,,103496375.0,ns,1
DynamicAccumulator: Prove Non-Membership,,200,,,100038000.0,ns,1
DynamicAccumulator: Prove Non-Membership,,200,,,105066750.0,ns,1
DynamicAccumulator: Prove Non-Membership,,200,,,102419459.0,ns,1
DynamicAccumulator: Prove Non-Membership,,200,,,103775708.0,ns,1
DynamicAccumulator: Prove Non-Membership,,200,,,104825042.0,ns,1
DynamicAccumulator: Prove Non-Membership,,200,,,103728583.0,ns,1
DynamicAccumulator: Prove Non-Membership,,200,,,103055500.0,ns,1
DynamicAccumulator: Prove Non-Membership,,200,,,104008791.0,ns,1
DynamicAccumulator: Prove Non-Membership,,200,,,105666750.0,ns,1
DynamicAccumulator: Prove Non-Membership,,200,,,106526000.0,ns,1
DynamicAccumulator: Prove Non-Membership,,200,,,104975958.0,ns,1
