group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
DynamicAccumulator: Prove Non-Membership,,50,,,54541791.0,ns,5
DynamicAccumulator: Prove Non-Membership,,50,,,54145583.0,ns,5
DynamicAccumulator: Prove Non-Membership,,50,,,53930417.0,ns,5
DynamicAccumulator: Prove Non-Membership,,50,,,52688333.0,ns,5
DynamicAccumulator: Prove Non-Membership,,50,,,53333667.0,ns,5
DynamicAccumulator: Prove Non-Membership,,50,,,53347167.0,ns,5
DynamicAccumulator: Prove Non-Membership,,50,,,54588792.0,ns,5
DynamicAccumulator: Prove Non-Membership,,50,,,53718750.0,ns,5
DynamicAccumulator: Prove Non-Membership,,50,,,54347875.0,ns,5
DynamicAccumulator: Prove Non-Membership,,50,,,53924709.0,ns,5
DynamicAccumulator: Prove Non-Membership,,50,,,54293583.0,ns,5
DynamicAccumulator: Prove Non-Membership,,50,,,53161042.0,ns,5
DynamicAccumulator: Prove Non-Membership,,50,,,53691042.0,ns,5
DynamicAccumulator: Prove Non-Membership,,50,,,53000459.0,ns,5
DynamicAccumulator: Prove Non-Membership,,50,,,53985000.0,ns,5
DynamicAccumulator: Prove Non-Membership,,50,,,53874042.0,ns,5
DynamicAccumulator: Prove Non-Membership,,50,,,54255833.0,ns,5
DynamicAccumulator: Prove Non-Membership,,50,,,52396208.0,ns,5
DynamicAccumulator: Prove Non-Membership,,50,,,53411000.0,ns,5
DynamicAccumulator: Prove Non-Membership,,50,,,54027916.0,ns,5
DynamicAccumulator: Prove Non-Membership,,50,,,54679417.0,ns,5
DynamicAccumulator: Prove Non-Membership,,50,,,53001875.0,ns,5
DynamicAccumulator: Prove Non-Membership,,50,,,54075792.0,ns,5
DynamicAccumulator: Prove Non-Membership,,50,,,53358416.0,ns,5
DynamicAccumulator: Prove Non-Membership,,50,,,54537833.0,ns,5
DynamicAccumulator: Prove Non-Membership,,50,,,53963583.0,ns,5
DynamicAccumulator: Prove Non-Membership,,50,,,52723417.0,ns,5
DynamicAccumulator: Prove Non-Membership,,50,,,51978958.0,ns,5
DynamicAccumulator: Prove Non-Membership,,50,,,55100750.0,ns,5
DynamicAccumulator: Prove Non-Membership,,50,,,53000708.0,ns,5
DynamicAccumulator: Prove Non-Membership,,50,,,53063292.0,ns,5
DynamicAccumulator: Prove Non-Membership,,50,,,42917500.0,ns,5
DynamicAccumulator: Prove Non-Membership,,50,,,54560917.0,ns,5
DynamicAccumulator: Prove Non-Membership,,50,,,52882750.0,ns,5
DynamicAccumulator: Prove Non-Membership,,50,,,54647917.0,ns,5
DynamicAccumulator: Prove Non-Membership,,50,,,52135375.0,ns,5
DynamicAccumulator: Prove Non-Membership,,50,,,54901917.0,ns,5
DynamicAccumulator: Prove Non-Membership,,50,,,54469667.0,ns,5
DynamicAccumulator: Prove Non-Membership,,50,,,52659292.0,ns,5
DynamicAccumulator: Prove Non-Membership,,50,,,53615667.0,ns,5
DynamicAccumulator: Prove Non-Membership,,50,,,53202958.0,ns,5
DynamicAccumulator: Prove Non-Membership,,50,,,52480417.0,ns,5
DynamicAccumulator: Prove Non-Membership,,50,,,53533333.0,ns,5
DynamicAccumulator: Prove Non-Membership,,50,,,53683875.0,ns,5
DynamicAccumulator: Prove Non-Membership,,50,,,54332833.0,ns,5
DynamicAccumulator: Prove Non-Membership,,50,,,54220125.0,ns,5
DynamicAccumulator: Prove Non-Membership,,50,,,54258541.0,ns,5
DynamicAccumulator: Prove Non-Membership,,50,,,54412375.0,ns,5
DynamicAccumulator: Prove Non-Membership,,50,,,53264792.0,ns,5
DynamicAccumulator: Prove Non-Membership,,50,,,53328542.0,ns,5
DynamicAccumulator: Prove Non-Membership,,50,,,54600500.0,ns,5
DynamicAccumulator: Prove Non-Membership,,50,,,53409000.0,ns,5
DynamicAccumulator: Prove Non-Membership,,50,,,55014834.0,ns,5
DynamicAccumulator: Prove Non-Membership,,50,,,53817875.0,ns,5
DynamicAccumulator: Prove Non-Membership,,50,,,53399917.0,ns,5
DynamicAccumulator: Prove Non-Membership,,50,,,53549167.0,ns,5
DynamicAccumulator: Prove Non-Membership,,50,,,54065333.0,ns,5
DynamicAccumulator: Prove Non-Membership,,50,,,53192125.0,ns,5
DynamicAccumulator: Prove Non-Membership,,50,,,55066917.0,ns,5
DynamicAccumulator: Prove Non-Membership,,50,,,54350166.0,ns,5
DynamicAccumulator: Prove Non-Membership,,50,,,54734416.0,ns,5
DynamicAccumulator: Prove Non-Membership,,50,,,55072083.0,ns,5
DynamicAccumulator: Prove Non-Membership,,50,,,52812000.0,ns,5
DynamicAccumulator: Prove Non-Membership,,50,,,53306916.0,ns,5
DynamicAccumulator: Prove Non-Membership,,50,,,54651959.0,ns,5
DynamicAccumulator: Prove Non-Membership,,50,,,53577334.0,ns,5
