group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
DynamicAccumulator: Add,,10,,,1030250.0,ns,11
DynamicAccumulator: Add,,10,,,2102584.0,ns,22
DynamicAccumulator: Add,,10,,,2999250.0,ns,33
DynamicAccumulator: Add,,10,,,4231792.0,ns,44
DynamicAccumulator: Add,,10,,,5073291.0,ns,55
DynamicAccumulator: Add,,10,,,6268583.0,ns,66
DynamicAccumulator: Add,,10,,,7267166.0,ns,77
DynamicAccumulator: Add,,10,,,8120000.0,ns,88
DynamicAccumulator: Add,,10,,,9127833.0,ns,99
DynamicAccumulator: Add,,10,,,10098417.0,ns,110
DynamicAccumulator: Add,,10,,,11148417.0,ns,121
DynamicAccumulator: Add,,10,,,12098959.0,ns,132
DynamicAccumulator: Add,,10,,,13384625.0,ns,143
DynamicAccumulator: Add,,10,,,14423000.0,ns,154
DynamicAccumulator: Add,,10,,,15246917.0,ns,165
DynamicAccumulator: Add,,10,,,16249417.0,ns,176
DynamicAccumulator: Add,,10,,,17365333.0,ns,187
DynamicAccumulator: Add,,10,,,18402875.0,ns,198
DynamicAccumulator: Add,,10,,,19311292.0,ns,209
DynamicAccumulator: Add,,10,,,20374000.0,ns,220
DynamicAccumulator: Add,,10,,,21407792.0,ns,231
DynamicAccumulator: Add,,10,,,22533833.0,ns,242
DynamicAccumulator: Add,,10,,,23313667.0,ns,253
DynamicAccumulator: Add,,10,,,24411208.0,ns,264
DynamicAccumulator: Add,,10,,,25347292.0,ns,275
DynamicAccumulator: Add,,10,,,26280041.0,ns,286
DynamicAccumulator: Add,,10,,,27356833.0,ns,297
DynamicAccumulator: Add,,10,,,28400333.0,ns,308
DynamicAccumulator: Add,,10,,,29561875.0,ns,319
DynamicAccumulator: Add,,10,,,30595625.0,ns,330
DynamicAccumulator: Add,,10,,,31532750.0,ns,341
DynamicAccumulator: Add,,10,,,32513000.0,ns,352
DynamicAccumulator: Add,,10,,,33471083.0,ns,363
DynamicAccumulator: Add,,10,,,34689084.0,ns,374
DynamicAccumulator: Add,,10,,,35510125.0,ns,385
DynamicAccumulator: Add,,10,,,36568542.0,ns,396
DynamicAccumulator: Add,,10,,,37628000.0,ns,407
DynamicAccumulator: Add,,10,,,38585583.0,ns,418
DynamicAccumulator: Add,,10,,,39552333.0,ns,429
DynamicAccumulator: Add,,10,,,40588916.0,ns,440
DynamicAccumulator: Add,,10,,,41596042.0,ns,451
DynamicAccumulator: Add,,10,,,42569708.0,ns,462
DynamicAccumulator: Add,,10,,,43957375.0,ns,473
