group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
DynamicAccumulator: Prove Non-Membership,,150,,,55197958.0,ns,1
DynamicAccumulator: Prove Non-Membership,,150,,,54883250.0,ns,1
DynamicAccumulator: Prove Non-Membership,,150,,,53909750.0,ns,1
DynamicAccumulator: Prove Non-Membership,,150,,,54137750.0,ns,1
DynamicAccumulator: Prove Non-Membership,,150,,,53720666.0,ns,1
DynamicAccumulator: Prove Non-Membership,,150,,,53459417.0,ns,1
DynamicAccumulator: Prove Non-Membership,,150,,,52214875.0,ns,1
DynamicAccumulator: Prove Non-Membership,,150,,,53391250.0,ns,1
DynamicAccumulator: Prove Non-Membership,,150,,,49486250.0,ns,1
DynamicAccumulator: Prove Non-Membership,,150,,,53100333.0,ns,1
DynamicAccumulator: Prove Non-Membership,,150,,,53213083.0,ns,1
DynamicAccumulator: Prove Non-Membership,,150,,,53137458.0,ns,1
DynamicAccumulator: Prove Non-Membership,,150,,,52224708.0,ns,1
DynamicAccumulator: Prove Non-Membership,,150,,,53868958.0,ns,1
DynamicAccumulator: Prove Non-Membership,,150,,,53396417.0,ns,1
DynamicAccumulator: Prove Non-Membership,,150,,,51898542.0,ns,1
DynamicAccumulator: Prove Non-Membership,,150,,,53087750.0,ns,1
DynamicAccumulator: Prove Non-Membership,,150,,,52836708.0,ns,1
DynamicAccumulator: Prove Non-Membership,,150,,,53133208.0,ns,1
DynamicAccumulator: Prove Non-Membership,,150,,,53033167.0,ns,1
DynamicAccumulator: Prove Non-Membership,,150,,,52237750.0,ns,1
DynamicAccumulator: Prove Non-Membership,,150,,,52905708.0,ns,1
DynamicAccumulator: Prove Non-Membership,,150,,,52442167.0,ns,1
DynamicAccumulator: Prove Non-Membership,,150,,,52654333.0,ns,1
DynamicAccumulator: Prove Non-Membership,,150,,,52508083.0,ns,1
DynamicAccumulator: Prove Non-Membership,,150,,,53372209.0,ns,1
DynamicAccumulator: Prove Non-Membership,,150,,,52126750.0,ns,1
DynamicAccumulator: Prove Non-Membership,,150,,,50907167.0,ns,1
DynamicAccumulator: Prove Non-Membership,,150,,,53839375.0,ns,1
DynamicAccumulator: Prove Non-Membership,,150,,,52719833.0,ns,1
DynamicAccumulator: Prove Non-Membership,,150,,,53184459.0,ns,1
DynamicAccumulator: Prove Non-Membership,,150,,,52900250.0,ns,1
DynamicAccumulator: Prove Non-Membership,,150,,,53454125.0,ns,1
DynamicAccumulator: Prove Non-Membership,,150,,,52616458.0,ns,1
DynamicAccumulator: Prove Non-Membership,,150,,,53166417.0,ns,1
DynamicAccumulator: Prove Non-Membership,,150,,,53400166.0,ns,1
DynamicAccumulator: Prove Non-Membership,,150,,,52882375.0,ns,1
DynamicAccumulator: Prove Non-Membership,,150,,,52268917.0,ns,1
DynamicAccumulator: Prove Non-Membership,,150,,,54068666.0,ns,1
DynamicAccumulator: Prove Non-Membership,,150,,,53141209.0,ns,1
DynamicAccumulator: Prove Non-Membership,,150,,,53437583.0,ns,1
DynamicAccumulator: Prove Non-Membership,,150,,,53092750.0,ns,1
DynamicAccumulator: Prove Non-Membership,,150,,,52938459.0,ns,1
DynamicAccumulator: Prove Non-Membership,,150,,,52982291.0,ns,1
DynamicAccumulator: Prove Non-Membership,,150,,,53971875.0,ns,1
DynamicAccumulator: Prove Non-Membership,,150,,,53727167.0,ns,1
DynamicAccumulator: Prove Non-Membership,,150,,,54219416.0,ns,1
DynamicAccumulator: Prove Non-Membership,,150,,,53965542.0,ns,1
DynamicAccumulator: Prove Non-Membership,,150,,,53820542.0,ns,1
DynamicAccumulator: Prove Non-Membership,,150,,,54636542.0,ns,1
DynamicAccumulator: Prove Non-Membership,,150,,,54147208.0,ns,1
DynamicAccumulator: Prove Non-Membership,,150,,,53667541.0,ns,1
DynamicAccumulator: Prove Non-Membership,,150,,,54229375.0,ns,1
DynamicAccumulator: Prove Non-Membership,,150,,,54382000.0,ns,1
DynamicAccumulator: Prove Non-Membership,,150,,,53699875.0,ns,1
DynamicAccumulator: Prove Non-Membership,,150,,,54980584.0,ns,1
DynamicAccumulator: Prove Non-Membership,,150,,,55282875.0,ns,1
DynamicAccumulator: Prove Non-Membership,,150,,,55249958.0,ns,1
DynamicAccumulator: Prove Non-Membership,,150,,,55015958.0,ns,1
DynamicAccumulator: Prove Non-Membership,,150,,,54632458.0,ns,1
DynamicAccumulator: Prove Non-Membership,,150,,,54707500.0,ns,1
DynamicAccumulator: Prove Non-Membership,,150,,,55403709.0,ns,1
DynamicAccumulator: Prove Non-Membership,,150,,,55235083.0,ns,1
DynamicAccumulator: Prove Non-Membership,,150,,,53983291.0,ns,1
DynamicAccumulator: Prove Non-Membership,,150,,,55517041.0,ns,1
DynamicAccumulator: Prove Non-Membership,,150,,,55284666.0,ns,1
DynamicAccumulator: Prove Non-Membership,,150,,,55221833.0,ns,1
DynamicAccumulator: Prove Non-Membership,,150,,,54781041.0,ns,1
DynamicAccumulator: Prove Non-Membership,,150,,,56450917.0,ns,1
DynamicAccumulator: Prove Non-Membership,,150,,,55293333.0,ns,1
DynamicAccumulator: Prove Non-Membership,,150,,,55697458.0,ns,1
DynamicAccumulator: Prove Non-Membership,,150,,,55368708.0,ns,1
DynamicAccumulator: Prove Non-Membership,,150,,,55203458.0,ns,1
DynamicAccumulator: Prove Non-Membership,,150,,,54889667.0,ns,1
DynamicAccumulator: Prove Non-Membership,,150,,,56470291.0,ns,1
DynamicAccumulator: Prove Non-Membership,,150,,,57301000.0,ns,1
DynamicAccumulator: Prove Non-Membership,,150,,,56303209.0,ns,1
DynamicAccumulator: Prove Non-Membership,,150,,,54687000.0,ns,1
DynamicAccumulator: Prove Non-Membership,,150,,,56417833.0,ns,1
DynamicAccumulator: Prove Non-Membership,,150,,,56859625.0,ns,1
DynamicAccumulator: Prove Non-Membership,,150,,,55976000.0,ns,1
DynamicAccumulator: Prove Non-Membership,,150,,,56431709.0,ns,1
DynamicAccumulator: Prove Non-Membership,,150,,,56085708.0,ns,1
DynamicAccumulator: Prove Non-Membership,,150,,,55278625.0,ns,1
DynamicAccumulator: Prove Non-Membership,,150,,,56566709.0,ns,1
DynamicAccumulator: Prove Non-Membership,,150,,,56062584.0,ns,1
DynamicAccumulator: Prove Non-Membership,,150,,,57274792.0,ns,1
DynamicAccumulator: Prove Non-Membership,,150,,,56115334.0,ns,1
DynamicAccumulator: Prove Non-Membership,,150,,,56600708.0,ns,1
DynamicAccumulator: Prove Non-Membership,,150,,,56410417.0,ns,1
DynamicAccumulator: Prove Non-Membership,,150,,,57119708.0,ns,1
DynamicAccumulator: Prove Non-Membership,,150,,,57221833.0,ns,1
DynamicAccumulator: Prove Non-Membership,,150,,,57313541.0,ns,1
DynamicAccumulator: Prove Non-Membership,,150,,,56697875.0,ns,1
DynamicAccumulator: Prove Non-Membership,,150,,,57017292.0,ns,1
DynamicAccumulator: Prove Non-Membership,,150,,,57408125.0,ns,1
