group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
DynamicAccumulator: Prove Membership,,1000,,,1073167.0,ns,9
DynamicAccumulator: Prove Membership,,1000,,,2161875.0,ns,18
DynamicAccumulator: Prove Membership,,1000,,,3248791.0,ns,27
DynamicAccumulator: Prove Membership,,1000,,,4224542.0,ns,36
DynamicAccumulator: Prove Membership,,1000,,,5339458.0,ns,45
DynamicAccumulator: Prove Membership,,1000,,,6396750.0,ns,54
DynamicAccumulator: Prove Membership,,1000,,,7536084.0,ns,63
DynamicAccumulator: Prove Membership,,1000,,,8658708.0,ns,72
DynamicAccumulator: Prove Membership,,1000,,,9587834.0,ns,81
DynamicAccumulator: Prove Membership,,1000,,,10854792.0,ns,90
DynamicAccumulator: Prove Membership,,1000,,,11735625.0,ns,99
DynamicAccumulator: Prove Membership,,1000,,,12968334.0,ns,108
DynamicAccumulator: Prove Membership,,1000,,,13935750.0,ns,117
DynamicAccumulator: Prove Membership,,1000,,,14954958.0,ns,126
DynamicAccumulator: Prove Membership,,1000,,,16237625.0,ns,135
DynamicAccumulator: Prove Membership,,1000,,,17003417.0,ns,144
DynamicAccumulator: Prove Membership,,1000,,,18235500.0,ns,153
DynamicAccumulator: Prove Membership,,1000,,,19427333.0,ns,162
DynamicAccumulator: Prove Membership,,1000,,,20562958.0,ns,171
DynamicAccumulator: Prove Membership,,1000,,,21429750.0,ns,180
DynamicAccumulator: Prove Membership,,1000,,,22426208.0,ns,189
DynamicAccumulator: Prove Membership,,1000,,,23652584.0,ns,198
DynamicAccumulator: Prove Membership,,1000,,,24603708.0,ns,207
DynamicAccumulator: Prove Membership,,1000,,,25643416.0,ns,216
DynamicAccumulator: Prove Membership,,1000,,,26927750.0,ns,225
DynamicAccumulator: Prove Membership,,1000,,,27883000.0,ns,234
DynamicAccumulator: Prove Membership,,1000,,,28689833.0,ns,243
DynamicAccumulator: Prove Membership,,1000,,,30042083.0,ns,252
DynamicAccumulator: Prove Membership,,1000,,,31084458.0,ns,261
DynamicAccumulator: Prove Membership,,1000,,,32218125.0,ns,270
DynamicAccumulator: Prove Membership,,1000,,,33246625.0,ns,279
DynamicAccumulator: Prove Membership,,1000,,,34237375.0,ns,288
DynamicAccumulator: Prove Membership,,1000,,,35408000.0,ns,297
DynamicAccumulator: Prove Membership,,1000,,,36545542.0,ns,306
DynamicAccumulator: Prove Membership,,1000,,,37403875.0,ns,315
DynamicAccumulator: Prove Membership,,1000,,,38520375.0,ns,324
DynamicAccumulator: Prove Membership,,1000,,,39382625.0,ns,333
DynamicAccumulator: Prove Membership,,1000,,,40552667.0,ns,342
DynamicAccumulator: Prove Membership,,1000,,,41784458.0,ns,351
DynamicAccumulator: Prove Membership,,1000,,,42814583.0,ns,360
DynamicAccumulator: Prove Membership,,1000,,,43921750.0,ns,369
DynamicAccumulator: Prove Membership,,1000,,,44864583.0,ns,378
DynamicAccumulator: Prove Membership,,1000,,,45853250.0,ns,387
DynamicAccumulator: Prove Membership,,1000,,,47014959.0,ns,396
